,Unnamed: 0,policy_number,policy_bind_date,policy_state,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_age,insured_sex,insured_occupation,insured_hobbies,incident_date,incident_state,incident_severity,incident_city,incident_location,incident_hour_of_the_day,peril_type,authorities_contacted,police_report_available,cov_A,cov_E,personal_liability_ind,property_claim_amount,injury_claim_amount,total_claim_amount,liberty_prior_claim,other_prior_claim,fraud_reported
7863,7863,605200,11/16/2012,IN,1000,8998.132194,0,61841,49,FEMALE,adm-clerical,camping,2/21/2015,WV,total loss,Riverwood,2273 1st Drive,12,hurricane,ambulance,NO,883000,1000000,YES,883000,11918,894918,NO,NO,NO
7864,7864,454390,12/31/2013,IN,500,7458.037402,0,47741,45,MALE,exec-managerial,movies,1/1/2015,NY,trivial damage,Northbrook,3115 Embaracadero St,13,other,ambulance,NO,704600,500000,NO,245129,16796,261925,YES,NO,NO
7865,7865,464639,1/17/2013,IN,1000,3764.110299,0,47842,24,FEMALE,tech-support,board-games,1/5/2015,SC,minor damage,Columbus,3874 Britain Drive,19,hurricane,other,NO,420400,1000000,YES,208977,10051,219028,YES,YES,NO
7866,7866,820659,6/30/1991,IN,1000,2839.6996710000008,0,45847,34,FEMALE,craft-repair,movies,2/7/2015,NY,total loss,Northbrook,4823 Pine Lane,9,hail,other,NO,341200,300000,NO,341200,1403,342603,YES,NO,NO
7867,7867,786470,9/16/1992,IN,1000,3115.725113,0,60170,35,MALE,tech-support,hiking,2/26/2015,SC,total loss,Springfield,5480 Washington Ridge,16,fire,police,YES,314600,1000000,NO,314600,5897,320497,YES,NO,NO
7868,7868,312979,3/24/2002,IL,500,4492.179806,0,43555,30,FEMALE,other-service,camping,2/13/2015,PA,total loss,Springfield,4384 Pine Ridge,14,other,other,NO,464400,1000000,NO,464400,46,464446,NO,NO,NO
7869,7869,514784,1/20/1994,IN,1000,7775.467136,5000000,43087,54,MALE,farming-fishing,exercise,2/13/2015,SC,total loss,Northbend,2787 Best Drive,19,hurricane,other,NO,657000,1000000,NO,657000,289,657289,NO,NO,NO
7870,7870,740587,10/4/1991,IN,1000,1803.101886,0,44386,31,MALE,exec-managerial,hiking,1/21/2015,NY,minor damage,Springfield,3068 Lincoln Drive,7,other,other,NO,210800,500000,NO,95194,12085,107279,NO,NO,NO
7871,7871,919443,12/23/2004,OH,500,1912.664153,0,61494,41,MALE,farming-fishing,kayaking,2/22/2015,NC,trivial damage,Hillsdale,9878 1st Ridge,7,fire,police,NO,204600,500000,NO,3468,11164,14632,YES,NO,NO
7872,7872,341119,12/2/2014,OH,500,6897.760549,0,44149,35,MALE,exec-managerial,kayaking,2/19/2015,WV,minor damage,Columbus,1092 Pine Lane,19,fire,fire,NO,674600,1000000,YES,386455,6689,393144,NO,NO,NO
7873,7873,487615,11/2/2001,OH,500,2675.308408,6000000,46965,57,MALE,adm-clerical,chess,1/7/2015,NY,minor damage,Northbend,3775 Washington Lane,7,theft,fire,NO,300200,1000000,NO,153547,6431,159978,NO,NO,NO
7874,7874,611509,9/20/1998,IN,1000,1579.016058,0,43732,30,MALE,sales,exercise,2/24/2015,NY,minor damage,Northbrook,6460 Elm Ridge,21,other,fire,NO,138000,300000,NO,65288,14044,79332,NO,NO,NO
7875,7875,403869,4/26/1999,OH,1000,1484.975308,0,60173,32,FEMALE,farming-fishing,dancing,1/14/2015,PA,major damage,Northbend,5137 Flute Ave,13,hurricane,other,NO,149000,1000000,NO,129325,11013,140338,NO,NO,NO
7876,7876,498309,9/24/1993,IL,500,3783.173861,3000000,44334,44,FEMALE,other-service,reading,1/3/2015,SC,total loss,Northbend,7492 1st St,21,fire,police,YES,440200,300000,NO,440200,20745,460945,NO,YES,NO
7877,7877,726985,8/5/1995,OH,500,8041.829682,0,45327,34,FEMALE,other-service,reading,2/12/2015,NY,minor damage,Columbus,7845 Texas St,3,hail,other,NO,744200,1000000,NO,409303,20101,429404,NO,YES,NO
7878,7878,680384,1/30/1992,IL,500,4427.098389,0,47697,43,FEMALE,craft-repair,camping,2/18/2015,NY,trivial damage,Arlington,8520 Sky Ridge,1,fire,other,NO,463000,300000,NO,6471,6733,13204,NO,NO,NO
7879,7879,234661,8/7/2012,IN,1000,3479.897847,6000000,61438,31,MALE,armed-forces,board-games,1/7/2015,WV,major damage,Northbend,3394 Britain Drive,21,theft,police,YES,389200,500000,NO,341523,14323,355846,NO,NO,NO
7880,7880,808482,8/17/1991,IL,1000,5195.351268,0,44254,39,FEMALE,transport-moving,exercise,2/11/2015,NY,trivial damage,Springfield,2510 3rd Ave,2,fire,fire,NO,619800,300000,NO,157404,371,157775,YES,YES,NO
7881,7881,765401,5/3/1996,IN,500,1092.514012,5000000,44266,48,FEMALE,transport-moving,video-games,2/26/2015,VA,minor damage,Northbend,3143 Tree St,20,theft,police,NO,126200,300000,NO,63164,1101,64265,YES,YES,NO
7882,7882,218931,1/17/2003,OH,500,4678.692586,6000000,46315,31,MALE,craft-repair,hiking,1/15/2015,SC,trivial damage,Northbrook,8513 Francis Drive,1,theft,ambulance,NO,394600,1000000,NO,35399,6689,42088,NO,YES,NO
7883,7883,992686,12/24/2011,IN,500,2370.977792,0,46423,42,MALE,adm-clerical,video-games,1/27/2015,OH,minor damage,Columbus,6303 Francis Ave,14,fire,none,NO,270600,300000,NO,119777,5148,124925,YES,NO,NO
7884,7884,997760,1/28/2001,IN,1000,3755.4471,0,46051,61,FEMALE,armed-forces,dancing,2/24/2015,NY,trivial damage,Columbus,7364 Pine Lane,17,hail,fire,NO,436200,500000,NO,104887,4883,109770,YES,NO,NO
7885,7885,152914,9/20/1995,OH,500,2061.116519,0,62096,32,FEMALE,tech-support,movies,2/9/2015,NY,total loss,Springfield,5610 Andromedia Lane,11,fire,none,NO,236800,500000,NO,236800,1642,238442,YES,NO,NO
7886,7886,687043,5/8/2010,IL,500,2854.472734,0,45036,45,FEMALE,farming-fishing,board-games,1/28/2015,NY,major damage,Columbus,5404 Pine Lane,3,theft,police,YES,338600,1000000,NO,295286,13220,308506,NO,NO,NO
7887,7887,876548,9/6/2002,OH,500,1695.2562039999998,0,61670,42,FEMALE,tech-support,basketball,2/7/2015,WV,total loss,Columbus,1438 Embaracadero Lane,21,hail,other,NO,207600,1000000,YES,207600,9461,217061,NO,YES,NO
7888,7888,821163,11/14/2002,IN,500,1868.284078,0,46831,35,MALE,tech-support,exercise,1/23/2015,VA,major damage,Hillsdale,2961 Texas Hwy,7,hurricane,other,NO,198800,1000000,NO,165138,11696,176834,YES,YES,NO
7889,7889,841137,12/14/2003,IL,500,6757.530598,0,43698,47,MALE,tech-support,hiking,1/16/2015,SC,minor damage,Arlington,7561 Pine Ave,7,other,fire,NO,649000,500000,NO,318895,9679,328574,NO,NO,NO
7890,7890,424797,4/19/1999,OH,500,4843.637424000001,0,61522,32,MALE,armed-forces,board-games,2/21/2015,NC,major damage,Hillsdale,7641 5th Ave,2,other,other,NO,516000,300000,NO,396337,2178,398515,YES,NO,NO
7891,7891,362208,11/23/1993,IL,500,1911.25635,3000000,60373,35,FEMALE,sales,video-games,2/11/2015,WV,minor damage,Arlington,2552 Tree Lane,17,fire,other,NO,237800,1000000,NO,96131,5089,101220,YES,NO,NO
7892,7892,976094,11/3/2003,IN,500,2085.475181,0,44114,37,FEMALE,other-service,camping,2/16/2015,WV,major damage,Springfield,3013 Francis Ridge,7,hurricane,other,NO,244200,500000,NO,186616,2510,189126,NO,NO,NO
7893,7893,540938,3/16/1991,IN,500,7873.843865000002,4000000,44239,31,FEMALE,farming-fishing,video-games,1/13/2015,NY,minor damage,Northbrook,7582 Weaver Drive,19,theft,fire,NO,696000,300000,NO,404796,6763,411559,YES,NO,NO
7894,7894,393335,4/3/1994,IN,1000,1258.637495,0,43397,28,FEMALE,transport-moving,video-games,1/22/2015,SC,major damage,Riverwood,9738 Flute Ave,6,hail,other,NO,127200,500000,NO,89890,10928,100818,NO,YES,NO
7895,7895,528857,6/17/2006,IL,500,5764.111656,4000000,45712,46,MALE,craft-repair,hiking,1/6/2015,SC,minor damage,Hillsdale,6057 Solo Lane,19,fire,fire,NO,535200,500000,NO,249431,5958,255389,YES,NO,NO
7896,7896,585799,6/7/1990,OH,500,2525.284023,0,45872,38,FEMALE,craft-repair,dancing,1/17/2015,SC,major damage,Northbrook,9132 Tree St,12,theft,none,NO,261200,500000,NO,221910,1103,223013,NO,NO,NO
7897,7897,992626,7/11/2013,IN,500,3167.48294,0,43854,56,MALE,adm-clerical,board-games,1/31/2015,WV,major damage,Northbend,3224 Best St,1,hurricane,ambulance,NO,321600,500000,NO,201910,5959,207869,NO,NO,NO
7898,7898,989039,4/30/1996,IL,500,5012.7313490000015,0,60495,21,FEMALE,exec-managerial,hiking,1/13/2015,NY,minor damage,Northbrook,2889 Francis Ridge,20,other,police,YES,443000,500000,NO,250739,35,250774,YES,NO,NO
7899,7899,748858,7/13/2001,IN,1000,3444.896438,0,47332,47,MALE,tech-support,movies,1/10/2015,SC,minor damage,Columbus,3602 Washington Ridge,14,theft,police,NO,374400,500000,YES,206118,7548,213666,YES,NO,NO
7900,7900,964330,6/6/1999,IN,500,3999.683476,7000000,60623,43,FEMALE,tech-support,chess,2/1/2015,NY,minor damage,Columbus,4241 Cherokee Drive,12,other,none,NO,491400,300000,NO,245365,3141,248506,NO,NO,NO
7901,7901,737226,4/20/1999,OH,500,3158.163121,0,60174,45,FEMALE,sales,dancing,2/27/2015,NY,minor damage,Columbus,8763 Cherokee Drive,3,hurricane,fire,NO,369000,500000,NO,173896,9082,182978,NO,NO,NO
7902,7902,437397,12/23/2000,OH,500,2907.853887,0,43697,41,FEMALE,exec-managerial,basketball,1/13/2015,WV,minor damage,Arlington,8058 Sky St,4,theft,ambulance,NO,309400,1000000,NO,130669,5887,136556,NO,NO,NO
7903,7903,578478,4/11/1993,IN,1000,4040.687983,0,60933,34,MALE,other-service,hiking,1/11/2015,VA,minor damage,Hillsdale,1568 Rock Ridge,6,theft,police,YES,457400,300000,NO,271391,6135,277526,NO,YES,NO
7904,7904,139971,9/18/2013,IL,500,6118.683671,0,47011,37,FEMALE,adm-clerical,board-games,2/21/2015,NY,minor damage,Columbus,6196 Flute Ridge,7,theft,ambulance,NO,722000,500000,NO,355067,259,355326,YES,NO,NO
7905,7905,602322,10/10/1996,IL,500,2773.00126,0,60142,39,MALE,transport-moving,dancing,2/1/2015,SC,total loss,Hillsdale,2384 Andromedia Ave,14,hurricane,other,NO,286000,1000000,NO,286000,206,286206,NO,NO,NO
7906,7906,510655,11/9/1993,IL,1000,2658.618857,0,47479,31,MALE,other-service,reading,1/31/2015,WV,minor damage,Northbend,7965 Weaver Ridge,6,hurricane,other,NO,275400,1000000,NO,148641,18,148659,NO,NO,NO
7907,7907,203045,2/19/2001,IL,1000,3820.479638,0,61522,49,MALE,exec-managerial,chess,2/25/2015,WV,trivial damage,Northbend,5929 Best St,17,fire,ambulance,NO,381600,1000000,YES,114349,1320,115669,NO,NO,NO
7908,7908,376041,2/9/1998,IL,1000,5611.138752000002,0,61670,30,MALE,adm-clerical,hiking,2/8/2015,NY,trivial damage,Northbrook,4473 Tree Hwy,22,hurricane,other,NO,667400,300000,YES,58338,4908,63246,YES,NO,NO
7909,7909,157431,7/29/2000,OH,1000,4534.810722,0,43369,34,MALE,farming-fishing,exercise,3/1/2015,SC,total loss,Northbrook,4648 Francis Drive,3,theft,ambulance,NO,383400,500000,NO,383400,14320,397720,YES,NO,NO
7910,7910,372194,5/17/2009,IL,500,3151.401179,0,44792,25,FEMALE,other-service,dancing,1/7/2015,SC,total loss,Hillsdale,4798 Britain Ridge,9,hurricane,other,NO,378800,500000,NO,378800,10997,389797,NO,NO,NO
7911,7911,755719,11/12/2014,IL,1000,5944.001214,7000000,43953,41,FEMALE,transport-moving,hiking,1/27/2015,NC,major damage,Northbrook,8368 Lincoln Lane,18,other,police,YES,513600,500000,NO,436361,2695,439056,YES,YES,NO
7912,7912,920015,8/23/1999,IN,1000,2961.726608,0,60338,38,MALE,adm-clerical,basketball,2/8/2015,NC,minor damage,Hillsdale,5140 Apache St,4,hurricane,other,NO,349400,500000,NO,189723,2360,192083,YES,YES,NO
7913,7913,986729,3/19/1997,IN,500,3787.615217,0,44490,32,MALE,adm-clerical,hiking,2/8/2015,SC,minor damage,Northbrook,4461 Francis Drive,8,fire,none,NO,388000,500000,NO,209961,5711,215672,NO,NO,NO
7914,7914,861172,1/23/1995,IN,1000,2298.650215,0,46525,36,FEMALE,exec-managerial,reading,1/15/2015,SC,total loss,Hillsdale,5022 MLK Ridge,12,theft,none,NO,267200,300000,NO,267200,7656,274856,NO,NO,NO
7915,7915,987389,10/25/1996,IL,1000,1316.309459,5000000,61752,61,FEMALE,tech-support,video-games,2/23/2015,NC,minor damage,Hillsdale,2715 Andromedia Hwy,0,fire,none,NO,115200,1000000,NO,51322,1290,52612,NO,NO,NO
7916,7916,111366,11/27/1997,OH,1000,4880.410127,9000000,47886,39,FEMALE,adm-clerical,chess,1/6/2015,WV,minor damage,Columbus,5851 Lincoln Lane,6,fire,other,NO,523200,500000,NO,227289,8513,235802,YES,NO,NO
7917,7917,672079,10/12/2005,IN,1000,4337.671031,0,44334,45,FEMALE,sales,kayaking,2/18/2015,SC,minor damage,Northbrook,7830 Tree St,3,fire,other,NO,366000,300000,NO,209675,3471,213146,NO,NO,NO
7918,7918,226325,2/14/2009,IL,500,6348.512264,0,43415,34,FEMALE,tech-support,movies,1/8/2015,NY,major damage,Arlington,1376 Sky Drive,4,theft,police,YES,676200,1000000,YES,458036,5937,463973,NO,NO,NO
7919,7919,823329,9/30/1998,IN,500,2884.197681,0,45443,39,FEMALE,farming-fishing,kayaking,1/23/2015,VA,trivial damage,Springfield,3595 Best Lane,0,theft,none,NO,348800,500000,NO,15085,12012,27097,YES,NO,NO
7920,7920,271386,10/2/2004,OH,1000,4267.121190999998,0,47794,49,FEMALE,transport-moving,kayaking,1/30/2015,NY,minor damage,Columbus,5988 Francis Lane,2,theft,none,NO,511600,500000,NO,210593,24,210617,NO,NO,NO
7921,7921,440935,2/10/1993,IN,1000,2192.036468,0,45620,46,FEMALE,tech-support,movies,1/5/2015,VA,trivial damage,Columbus,9003 Sky Ave,12,fire,police,YES,189200,1000000,NO,70427,7035,77462,NO,NO,NO
7922,7922,263180,11/10/2001,IN,1000,3294.513868,0,43887,22,FEMALE,adm-clerical,kayaking,2/16/2015,WV,total loss,Arlington,8475 Tree Lane,22,hurricane,other,NO,344600,300000,NO,344600,11936,356536,YES,NO,NO
7923,7923,613373,11/1/1993,IL,500,2763.551616,0,60525,25,MALE,farming-fishing,basketball,1/6/2015,WV,total loss,Hillsdale,7590 Maple St,9,fire,police,YES,331600,300000,NO,331600,11150,342750,NO,NO,NO
7924,7924,907655,1/26/2003,OH,1000,4576.629871,0,44880,42,MALE,other-service,hiking,2/18/2015,WV,minor damage,Columbus,6209 Lincoln Ridge,16,theft,none,NO,553200,500000,NO,308615,14875,323490,NO,NO,NO
7925,7925,779315,9/14/1990,OH,1000,1540.821575,0,45755,56,MALE,sales,exercise,2/10/2015,SC,major damage,Northbrook,1759 2nd Ridge,22,other,fire,NO,173800,500000,NO,109385,8515,117900,NO,NO,NO
7926,7926,340812,12/3/2007,IL,1000,2369.118375,0,44590,34,MALE,other-service,reading,2/25/2015,SC,major damage,Riverwood,8108 Andromedia Ave,0,fire,none,NO,256800,1000000,NO,208540,11826,220366,NO,NO,NO
7927,7927,927588,8/31/2008,IN,500,1394.257242,0,47558,38,FEMALE,tech-support,hiking,2/14/2015,WV,major damage,Arlington,3234 Flute Lane,10,other,fire,NO,161000,300000,NO,136847,2806,139653,NO,YES,NO
7928,7928,519951,12/10/2011,IL,500,4613.06657,0,47225,34,FEMALE,sales,reading,1/4/2015,VA,total loss,Springfield,3826 Tree Ridge,21,other,police,YES,414600,1000000,NO,414600,2637,417237,NO,NO,NO
7929,7929,617392,4/16/2009,IL,500,12418.56246,5000000,45319,58,MALE,adm-clerical,basketball,1/3/2015,WV,minor damage,Northbrook,3356 Elm Ridge,20,hail,fire,NO,1152600,500000,NO,642317,587,642904,NO,NO,NO
7930,7930,798105,10/4/2008,OH,1000,1898.194051,0,44032,27,FEMALE,farming-fishing,kayaking,2/3/2015,WV,total loss,Springfield,3847 Britain Ave,23,theft,other,NO,185800,1000000,YES,185800,7661,193461,NO,YES,NO
7931,7931,327816,2/12/2002,OH,1000,3106.376688,0,46423,42,MALE,craft-repair,reading,1/24/2015,NY,total loss,Northbend,3370 Francis Ave,4,fire,ambulance,NO,268600,300000,NO,268600,14295,282895,NO,NO,NO
7932,7932,379001,12/5/1991,IL,1000,2194.9335730000007,0,45274,34,MALE,tech-support,hiking,1/3/2015,WV,minor damage,Hillsdale,8643 4th Hwy,20,hurricane,other,NO,186200,500000,NO,103853,2729,106582,NO,YES,NO
7933,7933,218099,7/18/2008,IN,1000,4755.063272,0,60713,48,FEMALE,transport-moving,video-games,1/5/2015,WV,minor damage,Northbrook,2102 4th St,18,fire,other,NO,575000,500000,NO,237159,6221,243380,NO,NO,NO
7934,7934,141576,1/12/1994,IL,1000,3983.676995,0,44263,34,MALE,adm-clerical,video-games,1/4/2015,SC,trivial damage,Northbend,7128 Oak Hwy,0,theft,fire,NO,380200,500000,YES,69509,5879,75388,NO,NO,NO
7935,7935,556712,10/12/2010,IL,500,6684.192871,0,47479,42,MALE,transport-moving,reading,2/5/2015,NC,minor damage,Arlington,1345 Rock Ave,14,fire,fire,NO,667800,1000000,NO,365733,11582,377315,YES,NO,NO
7936,7936,402052,6/10/1992,OH,1000,7171.763626999998,0,43698,23,FEMALE,adm-clerical,chess,2/26/2015,VA,trivial damage,Springfield,2894 Oak Lane,0,hurricane,other,NO,756800,500000,NO,47147,8136,55283,YES,NO,NO
7937,7937,618461,11/19/1996,OH,500,10816.66007,5000000,61494,55,FEMALE,transport-moving,basketball,1/23/2015,NY,minor damage,Northbend,8018 Andromedia Lane,13,fire,other,NO,1001200,1000000,NO,411596,9024,420620,NO,NO,NO
7938,7938,896669,3/6/1999,OH,500,1563.56666,0,60174,38,FEMALE,other-service,exercise,2/7/2015,PA,minor damage,Northbend,8467 Apache St,17,fire,ambulance,NO,175200,500000,YES,102689,367,103056,YES,NO,NO
7939,7939,132033,4/4/2007,OH,500,2297.327462,0,45274,31,MALE,exec-managerial,kayaking,1/25/2015,WV,trivial damage,Springfield,4395 MLK Ave,17,hail,other,NO,210200,300000,NO,17036,12395,29431,YES,NO,NO
7940,7940,219750,5/24/2011,IN,1000,3275.677302,0,45118,46,MALE,other-service,chess,2/4/2015,NY,total loss,Springfield,4166 Pine Ave,23,hurricane,ambulance,NO,323400,300000,NO,323400,17226,340626,NO,YES,NO
7941,7941,488079,1/24/2003,OH,1000,4187.502391,0,61486,31,FEMALE,craft-repair,video-games,2/19/2015,NC,major damage,Arlington,9046 MLK Drive,2,fire,police,YES,400800,1000000,NO,290303,5306,295609,NO,NO,NO
7942,7942,959957,6/10/1996,OH,1000,8575.833432,8000000,44149,33,MALE,farming-fishing,chess,2/8/2015,NY,major damage,Springfield,8411 Sky Ridge,18,theft,police,YES,727600,500000,NO,534526,9383,543909,NO,NO,NO
7943,7943,720039,1/19/2004,IL,1000,3747.41081,0,61290,26,MALE,craft-repair,hiking,2/9/2015,PA,minor damage,Columbus,7409 Weaver Hwy,17,other,fire,NO,410800,500000,YES,205523,6048,211571,NO,NO,NO
7944,7944,415258,10/14/2014,IL,500,6964.833067000001,0,61772,31,MALE,armed-forces,hiking,1/18/2015,WV,trivial damage,Springfield,4948 Washington Ave,5,hurricane,other,NO,769600,500000,NO,175145,5021,180166,NO,NO,NO
7945,7945,291340,1/23/2010,OH,500,3815.458716,0,47010,45,MALE,farming-fishing,movies,2/16/2015,NC,total loss,Springfield,8952 Texas Ridge,13,hurricane,ambulance,NO,336200,1000000,YES,336200,5164,341364,YES,NO,NO
7946,7946,612604,7/26/2012,IL,1000,1991.209506,4000000,61024,45,MALE,transport-moving,basketball,2/9/2015,SC,minor damage,Arlington,2988 Texas Lane,0,hail,other,NO,195800,1000000,NO,86239,2600,88839,YES,NO,NO
7947,7947,393308,5/26/2006,IL,1000,1692.479711,0,45070,38,MALE,tech-support,reading,1/4/2015,WV,total loss,Riverwood,2269 Elm St,13,other,fire,NO,172200,300000,NO,172200,5745,177945,YES,YES,NO
7948,7948,617936,5/1/2008,IN,500,2101.773205,0,45746,50,FEMALE,adm-clerical,reading,2/8/2015,SC,major damage,Riverwood,6796 Lincoln Ridge,3,other,none,NO,183600,500000,NO,145743,7210,152953,NO,NO,NO
7949,7949,375819,8/6/1993,IL,500,3734.089224,0,43087,45,MALE,sales,dancing,2/26/2015,NY,total loss,Columbus,1254 Maple Hwy,4,other,fire,NO,356200,300000,NO,356200,1205,357405,NO,NO,NO
7950,7950,854926,2/11/2012,IL,500,1770.125277,0,44171,30,MALE,exec-managerial,exercise,1/20/2015,NY,trivial damage,Northbrook,8442 MLK Drive,18,hurricane,other,NO,166800,500000,NO,47359,2937,50296,YES,YES,NO
7951,7951,953318,10/22/2002,IN,500,2250.014036,0,61254,48,MALE,craft-repair,kayaking,1/9/2015,SC,minor damage,Arlington,8879 Maple Ave,7,hail,other,NO,262400,500000,NO,114059,1628,115687,NO,NO,NO
7952,7952,184384,1/26/2008,OH,1000,2156.031428,6000000,45591,28,MALE,farming-fishing,dancing,2/23/2015,NY,minor damage,Columbus,5653 Flute Drive,7,hail,fire,NO,261600,300000,NO,127054,8201,135255,NO,NO,NO
7953,7953,298790,1/28/1996,IL,500,2927.85758,0,43858,42,FEMALE,transport-moving,kayaking,1/28/2015,NY,minor damage,Columbus,3015 Elm St,8,fire,none,NO,271000,300000,NO,121093,560,121653,YES,NO,NO
7954,7954,139368,9/26/2008,IL,1000,4397.831981,0,61582,42,FEMALE,tech-support,hiking,2/15/2015,NY,total loss,Columbus,3127 Maple Hwy,1,hail,other,NO,380200,500000,NO,380200,11796,391996,NO,NO,NO
7955,7955,444309,1/2/1992,IN,1000,2919.552652,0,45636,31,MALE,farming-fishing,movies,2/8/2015,NC,minor damage,Arlington,2926 5th St,13,other,police,YES,293800,1000000,NO,127712,5846,133558,NO,NO,NO
7956,7956,548388,3/15/2004,IL,1000,2586.463574,0,61427,22,MALE,farming-fishing,kayaking,2/8/2015,SC,trivial damage,Arlington,7157 3rd Lane,17,other,fire,NO,313400,300000,NO,68363,5932,74295,NO,YES,NO
7957,7957,713178,9/18/2006,OH,1000,11047.07079,0,60041,32,MALE,other-service,reading,2/11/2015,VA,total loss,Columbus,1921 3rd Ridge,13,fire,none,NO,1040400,500000,NO,1040400,157,1040557,NO,NO,NO
7958,7958,885474,9/3/1996,IN,500,8701.534795,5000000,60437,43,FEMALE,adm-clerical,exercise,1/10/2015,WV,trivial damage,Northbrook,6118 Solo Lane,18,fire,none,NO,837200,1000000,NO,229514,12928,242442,NO,YES,NO
7959,7959,638630,3/8/1990,OH,1000,3228.673581,0,62096,44,FEMALE,craft-repair,board-games,2/7/2015,VA,trivial damage,Northbend,1655 Flute Drive,22,theft,other,NO,319600,1000000,NO,69686,1161,70847,NO,NO,NO
7960,7960,289249,8/27/1993,IL,500,2132.5159670000007,0,44797,28,FEMALE,tech-support,exercise,1/29/2015,WV,minor damage,Northbrook,6822 Elm Ridge,22,theft,other,NO,242000,1000000,NO,100120,7670,107790,NO,NO,NO
7961,7961,321893,5/28/2005,OH,500,1909.6097170000005,0,46831,30,MALE,tech-support,video-games,1/24/2015,NY,minor damage,Northbend,1851 Britain Ridge,23,fire,fire,NO,166000,500000,NO,74044,8692,82736,YES,YES,NO
7962,7962,640572,9/25/2007,OH,1000,1154.852231,0,60525,41,MALE,armed-forces,kayaking,1/31/2015,NY,trivial damage,Arlington,5818 MLK Drive,1,hail,other,NO,120800,1000000,NO,4238,13341,17579,NO,NO,NO
7963,7963,616380,2/9/1993,IL,1000,3186.894135,6000000,43127,63,FEMALE,craft-repair,movies,2/22/2015,VA,trivial damage,Riverwood,4066 4th Hwy,0,theft,other,NO,277400,300000,NO,5745,14400,20145,YES,NO,NO
7964,7964,176253,2/19/2008,OH,500,7835.372225,0,46850,46,MALE,sales,dancing,2/5/2015,NY,total loss,Riverwood,3734 Oak Lane,21,theft,fire,NO,664600,300000,NO,664600,463,665063,NO,YES,NO
7965,7965,923859,9/1/2010,IN,500,5602.635662,0,43056,28,MALE,adm-clerical,movies,2/12/2015,NY,minor damage,Springfield,1767 Pine Ave,19,fire,police,YES,544800,500000,NO,260139,1041,261180,NO,NO,NO
7966,7966,556317,9/1/2009,OH,1000,3036.71057,6000000,61627,39,MALE,sales,movies,1/18/2015,SC,trivial damage,Hillsdale,1361 5th Ave,23,fire,none,NO,343200,300000,NO,111937,4694,116631,YES,NO,NO
7967,7967,721161,1/18/2006,OH,500,4682.752059,0,47631,32,FEMALE,farming-fishing,movies,1/9/2015,NY,total loss,Northbrook,3949 1st Drive,8,hail,fire,NO,511000,500000,YES,511000,4933,515933,YES,NO,NO
7968,7968,117717,12/27/2004,OH,500,3897.490915,0,61688,36,MALE,sales,chess,2/20/2015,NC,minor damage,Springfield,1086 4th Ridge,21,hurricane,other,NO,327600,500000,NO,131750,4166,135916,YES,NO,NO
7969,7969,489551,9/5/1996,IN,500,2736.870764,6000000,44286,37,FEMALE,tech-support,basketball,1/25/2015,NY,minor damage,Northbend,3898 Francis Lane,13,hurricane,other,NO,290800,300000,NO,122211,3755,125966,YES,NO,NO
7970,7970,624553,11/12/1999,IN,1000,2533.57775,0,46816,39,MALE,transport-moving,basketball,2/11/2015,NY,minor damage,Hillsdale,7623 Elm Drive,21,hail,other,NO,251600,1000000,YES,141730,11757,153487,YES,NO,NO
7971,7971,991212,1/20/2008,IN,1000,5460.714885,7000000,61259,39,FEMALE,craft-repair,basketball,1/14/2015,NY,trivial damage,Columbus,7382 Maple Hwy,7,hurricane,other,NO,473000,1000000,NO,83891,8971,92862,NO,YES,NO
7972,7972,918338,1/18/2001,IN,1000,4455.457891,0,60663,38,FEMALE,tech-support,exercise,2/5/2015,WV,total loss,Hillsdale,5519 1st Drive,12,hail,other,NO,520200,500000,NO,520200,6791,526991,NO,NO,NO
7973,7973,627691,3/10/2005,OH,500,5095.103989,5000000,60881,30,FEMALE,other-service,exercise,2/21/2015,WV,total loss,Northbend,1832 Best St,13,hurricane,ambulance,NO,478000,1000000,NO,478000,91,478091,YES,NO,NO
7974,7974,728549,2/29/2004,OH,1000,5114.991808,4000000,45294,30,FEMALE,farming-fishing,board-games,1/26/2015,VA,total loss,Hillsdale,7880 Elm Ridge,9,hail,ambulance,NO,457600,1000000,NO,457600,1789,459389,NO,YES,NO
7975,7975,941267,9/6/1990,IL,1000,5771.764054,4000000,47247,42,MALE,sales,kayaking,1/30/2015,PA,minor damage,Riverwood,3101 Apache Drive,23,hurricane,other,NO,528000,500000,NO,227296,4948,232244,NO,YES,NO
7976,7976,905602,12/3/1997,IL,500,3325.739378,0,44512,34,MALE,craft-repair,board-games,2/26/2015,VA,total loss,Hillsdale,1454 1st St,2,fire,other,NO,283800,500000,NO,283800,5637,289437,NO,YES,NO
7977,7977,405055,4/18/1993,OH,500,3518.878656000001,4000000,47289,34,MALE,exec-managerial,chess,1/26/2015,SC,trivial damage,Arlington,9044 Weaver Drive,17,theft,fire,NO,422800,500000,NO,149384,8910,158294,NO,NO,NO
7978,7978,846608,5/25/1990,OH,1000,1475.177373,0,43553,32,MALE,adm-clerical,kayaking,2/8/2015,WV,minor damage,Northbend,5415 MLK Lane,23,fire,ambulance,NO,169200,300000,YES,100889,788,101677,NO,YES,NO
